Date,S. No.,Name of State / UT,Total Confirmed cases (Including 77 foreign Nationals) ,Cured/Discharged/Migrated,Death
04-24-2020,1,Andaman and Nicobar Islands,22,11,0
04-24-2020,2,Andhra Pradesh,955,145,29
04-24-2020,3,Arunachal Pradesh,1,1,0
04-24-2020,4,Assam,36,19,1
04-24-2020,5,Bihar,176,46,2
04-24-2020,6,Chandigarh,27,14,0
04-24-2020,7,Chhattisgarh,36,28,0
04-24-2020,8,Delhi,2376,808,50
04-24-2020,9,Goa,7,7,0
04-24-2020,10,Gujarat,2624,258,112
04-24-2020,11,Haryana,272,156,3
04-24-2020,12,Himachal Pradesh,40,18,1
04-24-2020,13,Jammu and Kashmir,427,92,5
04-24-2020,14,Jharkhand,55,8,3
04-24-2020,15,Karnataka,463,150,18
04-24-2020,16,Kerala,448,324,3
04-24-2020,17,Ladakh,18,14,0
04-24-2020,18,Madhya Pradesh,1852,203,83
04-24-2020,19,Maharashtra,6430,840,283
04-24-2020,20,Manipur,2,2,0
04-24-2020,21,Meghalaya,12,0,1
04-24-2020,22,Mizoram,1,0,0
04-24-2020,23,Odisha,90,33,1
04-24-2020,24,Puducherry,7,3,0
04-24-2020,25,Punjab,277,65,16
04-24-2020,26,Rajasthan,1964,230,27
04-24-2020,27,Tamil Nadu,1683,752,20
04-24-2020,28,Telengana,984,253,26
04-24-2020,29,Tripura,2,1,0
04-24-2020,30,Uttarakhand,47,24,0
04-24-2020,31,Uttar Pradesh,1604,206,24
04-24-2020,32,West Bengal,514,103,15
Total number of confirmed cases in India,23452*,4814,723
*States wise distribution is subject to further verification and reconciliation
*Our figures are being reconciled with ICMR
