Date,S. No.,Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*
07-24-2020,1,Andaman and Nicobar Islands,70,170,0,240
07-24-2020,2,Andhra Pradesh,34272,37555,884,72711
07-24-2020,3,Arunachal Pradesh,654,334,3,991
07-24-2020,4,Assam,8022,20699,70,28791
07-24-2020,5,Bihar,10994,20769,217,31980
07-24-2020,6,Chandigarh,256,531,13,800
07-24-2020,7,Chhattisgarh,1847,4377,30,6254
07-24-2020,8,Dadra and Nagar Haveli and Daman and Diu,279,489,2,770
07-24-2020,9,Delhi,14554,109065,3745,127364
07-24-2020,10,Goa,1666,2655,29,4350
07-24-2020,11,Gujarat,12247,37978,2252,52477
07-24-2020,12,Haryana,6348,22249,378,28975
07-24-2020,13,Himachal Pradesh,687,1136,11,1834
07-24-2020,14,Jammu and Kashmir,7438,8709,282,16429
07-24-2020,15,Jharkhand,3734,3174,67,6975
07-24-2020,16,Karnataka,49937,29310,1616,80863
07-24-2020,17,Kerala,9466,6594,50,16110
07-24-2020,18,Ladakh,183,1025,2,1210
07-24-2020,19,Madhya Pradesh,7335,17359,780,25474
07-24-2020,20,Maharashtra,140395,194253,12854,347502
07-24-2020,21,Manipur,649,1466,0,2115
07-24-2020,22,Meghalaya,452,78,4,534
07-24-2020,23,Mizoram,149,183,0,332
07-24-2020,24,Nagaland,644,530,0,1174
07-24-2020,25,Odisha,6592,14393,114,21099
07-24-2020,26,Puducherry,986,1400,34,2420
07-24-2020,27,Punjab,3721,7741,277,11739
07-24-2020,28,Rajasthan,8811,23815,594,33220
07-24-2020,29,Sikkim,338,122,0,460
07-24-2020,30,Tamil Nadu,52939,136793,3232,192964
07-24-2020,31,Telangana,11052,39327,447,50826
07-24-2020,32,Tripura,1574,2072,10,3656
07-24-2020,33,Uttarakhand,1986,3399,60,5445
07-24-2020,34,Uttar Pradesh,21012,35803,1289,58104
07-24-2020,35,West Bengal,18846,31656,1255,51757
"",Total#,440135,817209,30601,1287945
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
