Date,S. No.,Name of State / UT,Total Confirmed cases (Including 76 foreign Nationals) ,Cured/Discharged/Migrated,Death
04-17-2020,1,Andaman and Nicobar Islands,11,10,0
04-17-2020,2,Andhra Pradesh,572,36,14
04-17-2020,3,Arunachal Pradesh,1,0,0
04-17-2020,4,Assam,35,5,1
04-17-2020,5,Bihar,83,37,1
04-17-2020,6,Chandigarh,21,9,0
04-17-2020,7,Chhattisgarh,36,23,0
04-17-2020,8,Delhi,1640,51,38
04-17-2020,9,Goa,7,6,0
04-17-2020,10,Gujarat,1021,74,38
04-17-2020,11,Haryana,205,43,3
04-17-2020,12,Himachal Pradesh,35,16,1
04-17-2020,13,Jammu and Kashmir,314,38,4
04-17-2020,14,Jharkhand,29,0,2
04-17-2020,15,Karnataka,353,82,13
04-17-2020,16,Kerala,395,245,3
04-17-2020,17,Ladakh,18,14,0
04-17-2020,18,Madhya Pradesh,1308,65,57
04-17-2020,19,Maharashtra,3205,300,194
04-17-2020,20,Manipur,2,1,0
04-17-2020,21,Meghalaya,9,0,1
04-17-2020,22,Mizoram,1,0,0
04-17-2020,23,Nagaland#,0,0,0
04-17-2020,24,Odisha,60,19,1
04-17-2020,25,Puducherry,7,1,0
04-17-2020,26,Punjab,186,27,13
04-17-2020,27,Rajasthan,1131,164,11
04-17-2020,28,Tamil Nadu,1267,180,15
04-17-2020,29,Telengana,743,186,18
04-17-2020,30,Tripura,2,1,0
04-17-2020,31,Uttarakhand,37,9,0
04-17-2020,32,Uttar Pradesh,846,74,14
04-17-2020,32,West Bengal,255,51,10
Total number of confirmed cases in India,13835*,1767,452
*States wise distribution is subject to further verification and reconciliation
#Nagaland Patient shifted to Assam
