Date,S. No.,Name of State / UT,Total Confirmed cases (Including 76 foreign Nationals) ,Cured/Discharged/Migrated,Death
04-18-2020,1,Andaman and Nicobar Islands,12,11,0
04-18-2020,2,Andhra Pradesh,603,42,15
04-18-2020,3,Arunachal Pradesh,1,0,0
04-18-2020,4,Assam,35,9,1
04-18-2020,5,Bihar,85,37,2
04-18-2020,6,Chandigarh,21,9,0
04-18-2020,7,Chhattisgarh,36,24,0
04-18-2020,8,Delhi,1707,72,42
04-18-2020,9,Goa,7,6,0
04-18-2020,10,Gujarat,1272,88,48
04-18-2020,11,Haryana,225,43,3
04-18-2020,12,Himachal Pradesh,38,16,1
04-18-2020,13,Jammu and Kashmir,328,42,5
04-18-2020,14,Jharkhand,33,0,2
04-18-2020,15,Karnataka,371,92,13
04-18-2020,16,Kerala,396,255,3
04-18-2020,17,Ladakh,18,14,0
04-18-2020,18,Madhya Pradesh,1355,69,69
04-18-2020,19,Maharashtra,3323,331,201
04-18-2020,20,Manipur,2,1,0
04-18-2020,21,Meghalaya,11,0,1
04-18-2020,22,Mizoram,1,0,0
04-18-2020,23,Nagaland#,0,0,0
04-18-2020,24,Odisha,60,21,1
04-18-2020,25,Puducherry,7,3,0
04-18-2020,26,Punjab,202,27,13
04-18-2020,27,Rajasthan,1229,183,11
04-18-2020,28,Tamil Nadu,1323,283,15
04-18-2020,29,Telengana,791,186,18
04-18-2020,30,Tripura,2,1,0
04-18-2020,31,Uttarakhand,42,9,0
04-18-2020,32,Uttar Pradesh,969,86,14
04-18-2020,32,West Bengal,287,55,10
Total number of confirmed cases in India,14792*,2015,488
*States wise distribution is subject to further verification and reconciliation
#Nagaland Patient shifted to Assam
