Date,S. No.,Name of State / UT,Total Confirmed cases (Including 111 foreign Nationals) ,Cured/Discharged/Migrated,Deaths ( more than 70% cases due to comorbidities )
05-05-2020,1,Andaman and Nicobar Islands,33,32,0
05-05-2020,2,Andhra Pradesh,1717,589,36
05-05-2020,3,Arunachal Pradesh,1,1,0
05-05-2020,4,Assam,43,32,1
05-05-2020,5,Bihar,529,130,4
05-05-2020,6,Chandigarh,102,21,1
05-05-2020,7,Chhattisgarh,58,36,0
05-05-2020,8,Delhi,4898,1431,64
05-05-2020,9,Goa,7,7,0
05-05-2020,10,Gujarat,5804,1195,319
05-05-2020,11,Haryana,517,254,6
05-05-2020,12,Himachal Pradesh,41,38,1
05-05-2020,13,Jammu and Kashmir,726,303,8
05-05-2020,14,Jharkhand,115,27,3
05-05-2020,15,Karnataka,659,324,28
05-05-2020,16,Kerala,500,462,4
05-05-2020,17,Ladakh,41,17,0
05-05-2020,18,Madhya Pradesh,3049,1000,176
05-05-2020,19,Maharashtra,14541,2465,583
05-05-2020,20,Manipur,2,2,0
05-05-2020,21,Meghalaya,12,10,1
05-05-2020,22,Mizoram,1,0,0
05-05-2020,23,Odisha,170,60,1
05-05-2020,24,Puducherry,9,6,0
05-05-2020,25,Punjab,1233,128,23
05-05-2020,26,Rajasthan,3061,1394,77
05-05-2020,27,Tamil Nadu,3550,1409,31
05-05-2020,28,Telengana,1085,585,29
05-05-2020,29,Tripura,29,2,0
05-05-2020,30,Uttarakhand,60,39,1
05-05-2020,31,Uttar Pradesh,2859,944,53
05-05-2020,32,West Bengal,1259,218,133
Total number of confirmed cases in India,46711*,13161,1583
*States wise distribution is subject to further verification and reconciliation
*Our figures are being reconciled with ICMR
