Date,S. No.,Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*
07-23-2020,1,Andaman and Nicobar Islands,58,163,0,221
07-23-2020,2,Andhra Pradesh,31763,32127,823,64713
07-23-2020,3,Arunachal Pradesh,632,314,3,949
07-23-2020,4,Assam,8675,18033,64,26772
07-23-2020,5,Bihar,10506,19646,217,30369
07-23-2020,6,Chandigarh,254,526,13,793
07-23-2020,7,Chhattisgarh,1709,4230,29,5968
07-23-2020,8,Dadra and Nagar Haveli and Daman and Diu,257,474,2,733
07-23-2020,9,Delhi,14954,107650,3719,126323
07-23-2020,10,Goa,1607,2541,28,4176
07-23-2020,11,Gujarat,11915,37260,2224,51399
07-23-2020,12,Haryana,6117,21697,372,28186
07-23-2020,13,Himachal Pradesh,609,1105,11,1725
07-23-2020,14,Jammu and Kashmir,6831,8607,273,15711
07-23-2020,15,Jharkhand,3397,3024,64,6485
07-23-2020,16,Karnataka,47075,27239,1519,75833
07-23-2020,17,Kerala,8825,6162,45,15032
07-23-2020,18,Ladakh,186,1018,2,1206
07-23-2020,19,Madhya Pradesh,7236,16836,770,24842
07-23-2020,20,Maharashtra,137282,187769,12556,337607
07-23-2020,21,Manipur,632,1428,0,2060
07-23-2020,22,Meghalaya,433,77,4,514
07-23-2020,23,Mizoram,138,179,0,317
07-23-2020,24,Nagaland,598,486,0,1084
07-23-2020,25,Odisha,5977,13750,108,19835
07-23-2020,26,Puducherry,900,1369,31,2300
07-23-2020,27,Punjab,3391,7641,269,11301
07-23-2020,28,Rajasthan,8387,23364,583,32334
07-23-2020,29,Sikkim,326,112,0,438
07-23-2020,30,Tamil Nadu,51765,131583,3144,186492
07-23-2020,31,Telangana,11155,37666,438,49259
07-23-2020,32,Tripura,1408,2032,9,3449
07-23-2020,33,Uttarakhand,1894,3349,57,5300
07-23-2020,34,Uttar Pradesh,20825,33500,1263,55588
07-23-2020,35,West Bengal,18450,29650,1221,49321
"",Total#,426167,782607,29861,1238635
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
