Date,S. No.,Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*
07-18-2020,1,Andaman and Nicobar Islands,52,142,0,194
07-18-2020,2,Andhra Pradesh,19814,20298,534,40646
07-18-2020,3,Arunachal Pradesh,431,175,3,609
07-18-2020,4,Assam,6490,14105,51,20646
07-18-2020,5,Bihar,8767,14621,201,23589
07-18-2020,6,Chandigarh,169,480,11,660
07-18-2020,7,Chhattisgarh,1429,3512,23,4964
07-18-2020,8,Dadra and Nagar Haveli and Daman and Diu,182,401,2,585
07-18-2020,9,Delhi,17235,99301,3571,120107
07-18-2020,10,Goa,1337,1946,21,3304
07-18-2020,11,Gujarat,11351,32973,2106,46430
07-18-2020,12,Haryana,5752,18718,327,24797
07-18-2020,13,Himachal Pradesh,382,1024,11,1417
07-18-2020,14,Jammu and Kashmir,5968,6558,231,12757
07-18-2020,15,Jharkhand,2305,2570,46,4921
07-18-2020,16,Karnataka,33211,20757,1147,55115
07-18-2020,17,Kerala,6033,4995,38,11066
07-18-2020,18,Ladakh,177,973,1,1151
07-18-2020,19,Madhya Pradesh,5870,14514,697,21081
07-18-2020,20,Maharashtra,120780,160357,11452,292589
07-18-2020,21,Manipur,637,1163,0,1800
07-18-2020,22,Meghalaya,335,66,2,403
07-18-2020,23,Mizoram,122,160,0,282
07-18-2020,24,Nagaland,551,405,0,956
07-18-2020,25,Odisha,4697,11330,83,16110
07-18-2020,26,Puducherry,793,1014,25,1832
07-18-2020,27,Punjab,2830,6373,239,9442
07-18-2020,28,Rajasthan,6617,20626,546,27789
07-18-2020,29,Sikkim,176,90,0,266
07-18-2020,30,Tamil Nadu,47785,110807,2315,160907
07-18-2020,31,Telangana,13388,28705,403,42496
07-18-2020,32,Tripura,679,1684,3,2366
07-18-2020,33,Uttarakhand,1030,3021,51,4102
07-18-2020,34,Uttar Pradesh,16445,27634,1084,45163
07-18-2020,35,West Bengal,14709,22253,1049,38011
"",Cases being reassigned to states,163,"","",163
"",Total#,358692,653751,26273,1038716
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
