Date,S. No.,Name of State / UT,Total Confirmed cases (Including 111 foreign Nationals) ,Cured/Discharged/Migrated,Deaths ( more than 70% cases due to comorbidities )
05-06-2020,1,Andaman and Nicobar Islands,33,32,0
05-06-2020,2,Andhra Pradesh,1717,589,36
05-06-2020,3,Arunachal Pradesh,1,1,0
05-06-2020,4,Assam,43,32,1
05-06-2020,5,Bihar,536,142,4
05-06-2020,6,Chandigarh,111,21,1
05-06-2020,7,Chhattisgarh,59,36,0
05-06-2020,8,Dadar Nagar Haveli,1,0,0
05-06-2020,9,Delhi,5104,1468,64
05-06-2020,10,Goa,7,7,0
05-06-2020,11,Gujarat,6245,1381,368
05-06-2020,12,Haryana,548,256,6
05-06-2020,13,Himachal Pradesh,42,38,2
05-06-2020,14,Jammu and Kashmir,741,320,8
05-06-2020,15,Jharkhand,125,33,3
05-06-2020,16,Karnataka,671,331,29
05-06-2020,17,Kerala,502,462,4
05-06-2020,18,Ladakh,41,17,0
05-06-2020,19,Madhya Pradesh,3049,1000,176
05-06-2020,20,Maharashtra,15525,2819,617
05-06-2020,21,Manipur,2,2,0
05-06-2020,22,Meghalaya,12,10,1
05-06-2020,23,Mizoram,1,0,0
05-06-2020,24,Odisha,175,60,1
05-06-2020,25,Puducherry,9,6,0
05-06-2020,26,Punjab,1451,133,25
05-06-2020,27,Rajasthan,3158,1525,89
05-06-2020,28,Tamil Nadu,4058,1485,33
05-06-2020,29,Telengana,1096,585,29
05-06-2020,30,Tripura,43,2,0
05-06-2020,31,Uttarakhand,61,39,1
05-06-2020,32,Uttar Pradesh,2880,987,56
05-06-2020,33,West Bengal,1344,364,140
Total number of confirmed cases in India,49391*,14183,1694
*States wise distribution is subject to further verification and reconciliation
*Our figures are being reconciled with ICMR
