Date,S. No.,Name of State / UT,Total Confirmed cases (Including 77 foreign Nationals) ,Cured/Discharged/Migrated,Death
04-23-2020,1,Andaman and Nicobar Islands,18,11,0
04-23-2020,2,Andhra Pradesh,895,141,27
04-23-2020,3,Arunachal Pradesh,1,1,0
04-23-2020,4,Assam,35,19,1
04-23-2020,5,Bihar,148,46,2
04-23-2020,6,Chandigarh,27,14,0
04-23-2020,7,Chhattisgarh,36,28,0
04-23-2020,8,Delhi,2248,724,48
04-23-2020,9,Goa,7,7,0
04-23-2020,10,Gujarat,2407,179,103
04-23-2020,11,Haryana,262,140,3
04-23-2020,12,Himachal Pradesh,40,18,1
04-23-2020,13,Jammu and Kashmir,407,92,5
04-23-2020,14,Jharkhand,49,8,3
04-23-2020,15,Karnataka,443,141,17
04-23-2020,16,Kerala,438,324,3
04-23-2020,17,Ladakh,18,14,0
04-23-2020,18,Madhya Pradesh,1695,148,81
04-23-2020,19,Maharashtra,5652,789,269
04-23-2020,20,Manipur,2,2,0
04-23-2020,21,Meghalaya,12,0,1
04-23-2020,22,Mizoram,1,0,0
04-23-2020,23,Odisha,83,32,1
04-23-2020,24,Puducherry,7,3,0
04-23-2020,25,Punjab,277,65,16
04-23-2020,26,Rajasthan,1890,230,27
04-23-2020,27,Tamil Nadu,1629,662,18
04-23-2020,28,Telengana,960,197,24
04-23-2020,29,Tripura,2,1,0
04-23-2020,30,Uttarakhand,46,23,0
04-23-2020,31,Uttar Pradesh,1509,187,21
04-23-2020,32,West Bengal,456,79,15
Total number of confirmed cases in India,21700*,4325,686
*States wise distribution is subject to further verification and reconciliation
*Our figures are being reconciled with ICMR
