Date,S. No.,Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*
06-18-2020,1,Andaman and Nicobar Islands,11,33,0,44
06-18-2020,2,Andhra Pradesh,3340,3641,90,7071
06-18-2020,3,Arunachal Pradesh,92,7,0,99
06-18-2020,4,Assam,1955,2642,8,4605
06-18-2020,5,Bihar,1972,4926,44,6942
06-18-2020,6,Chandigarh,59,303,6,368
06-18-2020,7,Chhattisgarh,674,1180,10,1864
06-18-2020,8,Dadra and Nagar Haveli and Daman and Diu,45,12,0,57
06-18-2020,9,Delhi,27741,17457,1904,47102
06-18-2020,10,Goa,560,96,0,656
06-18-2020,11,Gujarat,6103,17430,1560,25093
06-18-2020,12,Haryana,4750,3952,130,8832
06-18-2020,13,Himachal Pradesh,189,372,8,569
06-18-2020,14,Jammu and Kashmir,2427,2914,65,5406
06-18-2020,15,Jharkhand,734,1151,10,1895
06-18-2020,16,Karnataka,2828,4804,102,7734
06-18-2020,17,Kerala,1351,1326,20,2697
06-18-2020,18,Ladakh,594,92,1,687
06-18-2020,19,Madhya Pradesh,2374,8388,482,11244
06-18-2020,20,Maharashtra,51935,59166,5651,116752
06-18-2020,21,Manipur,360,192,0,552
06-18-2020,22,Meghalaya,13,30,1,44
06-18-2020,23,Mizoram,120,1,0,121
06-18-2020,24,Nagaland,90,103,0,193
06-18-2020,25,Odisha,1280,3047,11,4338
06-18-2020,26,Puducherry,129,109,7,245
06-18-2020,27,Punjab,881,2538,78,3497
06-18-2020,28,Rajasthan,2762,10467,313,13542
06-18-2020,29,Sikkim,66,4,0,70
06-18-2020,30,Tamil Nadu,21993,27624,576,50193
06-18-2020,31,Telangana,2412,3071,192,5675
06-18-2020,32,Tripura,578,556,1,1135
06-18-2020,33,Uttarakhand,743,1254,26,2023
06-18-2020,34,Uttar Pradesh,5259,8904,435,14598
06-18-2020,35,West Bengal,5261,6533,506,12300
"",Cases being reassigned to states,8703,"","",8703
"",Total#,160384,194325,12237,366946
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
