Date,S. No.,Name of State / UT,Total Confirmed cases (Including 111 foreign Nationals) ,Cured/Discharged/Migrated,Death
04-29-2020,1,Andaman and Nicobar Islands,33,15,0
04-29-2020,2,Andhra Pradesh,1332,287,31
04-29-2020,3,Arunachal Pradesh,1,1,0
04-29-2020,4,Assam,38,27,1
04-29-2020,5,Bihar,383,64,2
04-29-2020,6,Chandigarh,56,17,0
04-29-2020,7,Chhattisgarh,38,34,0
04-29-2020,8,Delhi,3314,1078,54
04-29-2020,9,Goa,7,7,0
04-29-2020,10,Gujarat,3774,434,181
04-29-2020,11,Haryana,310,209,3
04-29-2020,12,Himachal Pradesh,40,25,1
04-29-2020,13,Jammu and Kashmir,565,176,8
04-29-2020,14,Jharkhand,105,19,3
04-29-2020,15,Karnataka,532,215,20
04-29-2020,16,Kerala,486,359,4
04-29-2020,17,Ladakh,22,16,0
04-29-2020,18,Madhya Pradesh#,2561,377,119#
04-29-2020,19,Maharashtra,9318,1388,400
04-29-2020,20,Manipur,2,2,0
04-29-2020,21,Meghalaya,12,0,1
04-29-2020,22,Mizoram,1,0,0
04-29-2020,23,Odisha,119,38,1
04-29-2020,24,Puducherry,8,3,0
04-29-2020,25,Punjab,322,71,19
04-29-2020,26,Rajasthan,2364,768,51
04-29-2020,27,Tamil Nadu,2058,1168,25
04-29-2020,28,Telengana,1012,367,26
04-29-2020,29,Tripura,2,2,0
04-29-2020,30,Uttarakhand,54,34,0
04-29-2020,31,Uttar Pradesh,2115,477,36
04-29-2020,32,West Bengal,725,119,22
Total number of confirmed cases in India,31787*,7797,1008
#1 Repeat case from Betul Removed
*78 cases are being assigned to states for contact tracing
*States wise distribution is subject to further verification and reconciliation
*Our figures are being reconciled with ICMR
