Date,S. No.,Name of State / UT,Total Confirmed cases (Including 111 foreign Nationals) ,Cured/Discharged/Migrated,Death
05-03-2020,1,Andaman and Nicobar Islands,33,17,0
05-03-2020,2,Andhra Pradesh,1583,488,33
05-03-2020,3,Arunachal Pradesh,1,1,0
05-03-2020,4,Assam,43,32,1
05-03-2020,5,Bihar,482,117,4
05-03-2020,6,Chandigarh,94,19,0
05-03-2020,7,Chhattisgarh,43,36,0
05-03-2020,8,Delhi,4122,1256,64
05-03-2020,9,Goa,7,7,0
05-03-2020,10,Gujarat,5055,896,262
05-03-2020,11,Haryana,394,227,4
05-03-2020,12,Himachal Pradesh,40,33,1
05-03-2020,13,Jammu and Kashmir,666,254,8
05-03-2020,14,Jharkhand,115,22,3
05-03-2020,15,Karnataka,606,282,25
05-03-2020,16,Kerala,500,400,4
05-03-2020,17,Ladakh,40,17,0
05-03-2020,18,Madhya Pradesh,2846,798,156
05-03-2020,19,Maharashtra,12296,2000,521
05-03-2020,20,Manipur,2,2,0
05-03-2020,21,Meghalaya,12,0,1
05-03-2020,22,Mizoram,1,0,0
05-03-2020,23,Odisha,160,56,1
05-03-2020,24,Puducherry,8,5,0
05-03-2020,25,Punjab,772,112,20
05-03-2020,26,Rajasthan,2772,1121,65
05-03-2020,27,Tamil Nadu,2757,1341,29
05-03-2020,28,Telengana,1063,458,28
05-03-2020,29,Tripura,4,2,0
05-03-2020,30,Uttarakhand,59,39,0
05-03-2020,31,Uttar Pradesh,2626,698,43
05-03-2020,32,West Bengal,922,151,33
Total number of confirmed cases in India,40263*,10887,1306
*139 cases are being assigned to states for contact tracing
*States wise distribution is subject to further verification and reconciliation
*Our figures are being reconciled with ICMR
