Date,S. No.,Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*
06-11-2020,1,Andaman and Nicobar Islands,1,33,0,34
06-11-2020,2,Andhra Pradesh,2292,2899,78,5269
06-11-2020,3,Arunachal Pradesh,55,2,0,57
06-11-2020,4,Assam,1839,1249,4,3092
06-11-2020,5,Bihar,2606,3071,33,5710
06-11-2020,6,Chandigarh,36,286,5,327
06-11-2020,7,Chhattisgarh,854,402,6,1262
06-11-2020,8,Dadra and Nagar Haveli and Daman and Diu,26,2,0,28
06-11-2020,9,Delhi,19581,12245,984,32810
06-11-2020,10,Goa,320,67,0,387
06-11-2020,11,Gujarat,5439,14735,1347,21521
06-11-2020,12,Haryana,3339,2188,52,5579
06-11-2020,13,Himachal Pradesh,191,254,6,451
06-11-2020,14,Jammu and Kashmir,2785,1671,51,4507
06-11-2020,15,Jharkhand,889,592,8,1489
06-11-2020,16,Karnataka,3110,2862,69,6041
06-11-2020,17,Kerala,1238,905,18,2161
06-11-2020,18,Ladakh,62,52,1,115
06-11-2020,19,Madhya Pradesh,2730,6892,427,10049
06-11-2020,20,Maharashtra,46086,44517,3438,94041
06-11-2020,21,Manipur,248,63,0,311
06-11-2020,22,Meghalaya,30,13,1,44
06-11-2020,23,Mizoram,92,1,0,93
06-11-2020,24,Nagaland,106,22,0,128
06-11-2020,25,Odisha,959,2282,9,3250
06-11-2020,26,Puducherry,74,53,0,127
06-11-2020,27,Punjab,518,2232,55,2805
06-11-2020,28,Rajasthan,2772,8569,259,11600
06-11-2020,29,Sikkim,13,0,0,13
06-11-2020,30,Tamil Nadu,17182,19333,326,36841
06-11-2020,31,Telangana,2138,1817,156,4111
06-11-2020,32,Tripura,655,239,1,895
06-11-2020,33,Uttarakhand,716,831,15,1562
06-11-2020,34,Uttar Pradesh,4418,6871,321,11610
06-11-2020,35,West Bengal,5117,3779,432,9328
"",Cases being reassigned to states,8931,"","",8931
"",Total#,137448,141029,8102,286579
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
