Date,S. No.,Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*
06-15-2020,1,Andaman and Nicobar Islands,5,33,0,38
06-15-2020,2,Andhra Pradesh,2765,3314,84,6163
06-15-2020,3,Arunachal Pradesh,84,7,0,91
06-15-2020,4,Assam,2081,1960,8,4049
06-15-2020,5,Bihar,2261,4170,39,6470
06-15-2020,6,Chandigarh,54,293,5,352
06-15-2020,7,Chhattisgarh,891,763,8,1662
06-15-2020,8,Dadra and Nagar Haveli and Daman and Diu,34,2,0,36
06-15-2020,9,Delhi,24032,15823,1327,41182
06-15-2020,10,Goa,490,74,0,564
06-15-2020,11,Gujarat,5742,16325,1477,23544
06-15-2020,12,Haryana,4117,3003,88,7208
06-15-2020,13,Himachal Pradesh,174,337,7,518
06-15-2020,14,Jammu and Kashmir,2593,2389,59,5041
06-15-2020,15,Jharkhand,832,905,8,1745
06-15-2020,16,Karnataka,2959,3955,86,7000
06-15-2020,17,Kerala,1340,1102,19,2461
06-15-2020,18,Ladakh,468,80,1,549
06-15-2020,19,Madhya Pradesh,2666,7677,459,10802
06-15-2020,20,Maharashtra,53030,50978,3950,107958
06-15-2020,21,Manipur,367,91,0,458
06-15-2020,22,Meghalaya,18,25,1,44
06-15-2020,23,Mizoram,111,1,0,112
06-15-2020,24,Nagaland,80,88,0,168
06-15-2020,25,Odisha,1190,2708,11,3909
06-15-2020,26,Puducherry,98,91,5,194
06-15-2020,27,Punjab,717,2356,67,3140
06-15-2020,28,Rajasthan,2836,9566,292,12694
06-15-2020,29,Sikkim,64,4,0,68
06-15-2020,30,Tamil Nadu,19679,24547,435,44661
06-15-2020,31,Telangana,2412,2377,185,4974
06-15-2020,32,Tripura,760,315,1,1076
06-15-2020,33,Uttarakhand,684,1111,24,1819
06-15-2020,34,Uttar Pradesh,4948,8268,399,13615
06-15-2020,35,West Bengal,5552,5060,475,11087
"",Cases being reassigned to states,6972,"","",6972
"",Total#,153106,169798,9520,332424
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
