Date,S. No.,Name of State / UT,Total Confirmed cases (Including 111 foreign Nationals) ,Cured/Discharged/Migrated,Death
05-04-2020,1,Andaman and Nicobar Islands,33,32,0
05-04-2020,2,Andhra Pradesh,1650,524,36
05-04-2020,3,Arunachal Pradesh,1,1,0
05-04-2020,4,Assam,43,32,1
05-04-2020,5,Bihar,517,125,4
05-04-2020,6,Chandigarh,94,19,0
05-04-2020,7,Chhattisgarh,57,36,0
05-04-2020,8,Delhi,4549,1362,64
05-04-2020,9,Goa,7,7,0
05-04-2020,10,Gujarat,5428,1042,290
05-04-2020,11,Haryana,442,245,5
05-04-2020,12,Himachal Pradesh,40,34,1
05-04-2020,13,Jammu and Kashmir,701,287,8
05-04-2020,14,Jharkhand,115,22,3
05-04-2020,15,Karnataka,642,304,26
05-04-2020,16,Kerala,500,401,4
05-04-2020,17,Ladakh,41,17,0
05-04-2020,18,Madhya Pradesh,2942,798,165
05-04-2020,19,Maharashtra,12974,2115,548
05-04-2020,20,Manipur,2,2,0
05-04-2020,21,Meghalaya,12,0,1
05-04-2020,22,Mizoram,1,0,0
05-04-2020,23,Odisha,163,60,1
05-04-2020,24,Puducherry,8,5,0
05-04-2020,25,Punjab,1102,117,21
05-04-2020,26,Rajasthan,2886,1356,71
05-04-2020,27,Tamil Nadu,3023,1379,30
05-04-2020,28,Telengana,1082,490,29
05-04-2020,29,Tripura,16,2,0
05-04-2020,30,Uttarakhand,60,39,1
05-04-2020,31,Uttar Pradesh,2742,758,45
05-04-2020,32,West Bengal,963,151,35
Total number of confirmed cases in India,42836*,11762,1389
*States wise distribution is subject to further verification and reconciliation
*Our figures are being reconciled with ICMR
