Date,S. No.,Name of State / UT,Total Confirmed cases* ,Cured/Discharged/Migrated,Deaths**
05-19-2020,1,Andaman and Nicobar Islands,33,33,0
05-19-2020,2,Andhra Pradesh,2474,1552,50
05-19-2020,3,Arunachal Pradesh,1,1,0
05-19-2020,4,Assam,107,41,2
05-19-2020,5,Bihar,1391,494,9
05-19-2020,6,Chandigarh,196,54,3
05-19-2020,7,Chhattisgarh,93,59,0
05-19-2020,8,Dadar Nagar Haveli,1,0,0
05-19-2020,9,Delhi,10054,4485,168
05-19-2020,10,Goa,38,7,0
05-19-2020,11,Gujarat,11745,4804,694
05-19-2020,12,Haryana,928,598,14
05-19-2020,13,Himachal Pradesh,90,44,3
05-19-2020,14,Jammu and Kashmir,1289,609,15
05-19-2020,15,Jharkhand,223,113,3
05-19-2020,16,Karnataka,1246,530,37
05-19-2020,17,Kerala,630,497,4
05-19-2020,18,Ladakh,43,41,0
05-19-2020,19,Madhya Pradesh,5236,2435,252
05-19-2020,20,Maharashtra,35058,8437,1249
05-19-2020,21,Manipur,7,2,0
05-19-2020,22,Meghalaya,13,11,1
05-19-2020,23,Mizoram,1,1,0
05-19-2020,24,Odisha,876,220,4
05-19-2020,25,Puducherry,18,9,1
05-19-2020,26,Punjab,1980,1547,37
05-19-2020,27,Rajasthan,5507,3218,138
05-19-2020,28,Tamil Nadu,11760,4406,81
05-19-2020,29,Telengana,1597,1000,35
05-19-2020,30,Tripura,167,85,0
05-19-2020,31,Uttarakhand,93,52,1
05-19-2020,32,Uttar Pradesh,4605,2783,118
05-19-2020,33,West Bengal,2825,1006,244
"",Cases being reassigned to states,814,"",""
Total number of confirmed cases in India,101139#,39174,3163
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
