Date,S. No.,Name of State / UT,Total Confirmed cases (Including 111 foreign Nationals) ,Cured/Discharged/Migrated,Deaths ( more than 70% cases due to comorbidities )
05-10-2020,1,Andaman and Nicobar Islands,33,33,0
05-10-2020,2,Andhra Pradesh,1930,887,44
05-10-2020,3,Arunachal Pradesh,1,1,0
05-10-2020,4,Assam,63,34,2
05-10-2020,5,Bihar,591,322,5
05-10-2020,6,Chandigarh,169,24,2
05-10-2020,7,Chhattisgarh,59,43,0
05-10-2020,8,Dadar Nagar Haveli,1,0,0
05-10-2020,9,Delhi,6542,2020,73
05-10-2020,10,Goa,7,7,0
05-10-2020,11,Gujarat,7796,2091,472
05-10-2020,12,Haryana,675,290,9
05-10-2020,13,Himachal Pradesh,50,38,2
05-10-2020,14,Jammu and Kashmir,836,368,9
05-10-2020,15,Jharkhand,156,78,3
05-10-2020,16,Karnataka,794,386,30
05-10-2020,17,Kerala,505,485,4
05-10-2020,18,Ladakh,42,17,0
05-10-2020,19,Madhya Pradesh,3614,1676,215
05-10-2020,20,Maharashtra,20228,3800,779
05-10-2020,21,Manipur,2,2,0
05-10-2020,22,Meghalaya,13,10,1
05-10-2020,23,Mizoram,1,1,0
05-10-2020,24,Odisha,294,63,2
05-10-2020,25,Puducherry,9,6,0
05-10-2020,26,Punjab,1762,157,31
05-10-2020,27,Rajasthan,3708,2026,106
05-10-2020,28,Tamil Nadu,6535,1824,44
05-10-2020,29,Telengana,1163,750,30
05-10-2020,30,Tripura,134,2,0
05-10-2020,31,Uttarakhand,67,46,1
05-10-2020,32,Uttar Pradesh,3373,1499,74
05-10-2020,33,West Bengal,1786,372,171
Total number of confirmed cases in India,62939*,19358,2109
*States wise distribution is subject to further verification and reconciliation
*Our figures are being reconciled with ICMR
