Date,S. No.,Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*
06-07-2020,1,Andaman and Nicobar Islands,0,33,0,33
06-07-2020,2,Andhra Pradesh,1817,2620,73,4510
06-07-2020,3,Arunachal Pradesh,46,1,0,47
06-07-2020,4,Assam,1846,547,4,2397
06-07-2020,5,Bihar,2460,2425,30,4915
06-07-2020,6,Chandigarh,31,273,5,309
06-07-2020,7,Chhattisgarh,653,266,4,923
06-07-2020,8,Dadar Nagar Haveli,18,1,0,19
06-07-2020,9,Delhi,16229,10664,761,27654
06-07-2020,10,Goa,202,65,0,267
06-07-2020,11,Gujarat,5057,13316,1219,19592
06-07-2020,12,Haryana,1794,2134,24,3952
06-07-2020,13,Himachal Pradesh,201,194,5,400
06-07-2020,14,Jammu and Kashmir,2302,1126,39,3467
06-07-2020,15,Jharkhand,520,473,7,1000
06-07-2020,16,Karnataka,3186,1968,59,5213
06-07-2020,17,Kerala,1030,762,15,1807
06-07-2020,18,Ladakh,50,48,1,99
06-07-2020,19,Madhya Pradesh,2721,6108,399,9228
06-07-2020,20,Maharashtra,42609,37390,2969,82968
06-07-2020,21,Manipur,105,52,0,157
06-07-2020,22,Meghalaya,19,13,1,33
06-07-2020,23,Mizoram,23,1,0,24
06-07-2020,24,Nagaland,107,0,0,107
06-07-2020,25,Odisha,1057,1716,8,2781
06-07-2020,26,Puducherry,63,36,0,99
06-07-2020,27,Punjab,373,2092,50,2515
06-07-2020,28,Rajasthan,2599,7501,231,10331
06-07-2020,29,Sikkim,7,0,0,7
06-07-2020,30,Tamil Nadu,13506,16395,251,30152
06-07-2020,31,Telengana,1663,1710,123,3496
06-07-2020,32,Tripura,574,173,0,747
06-07-2020,33,Uttarakhand,869,423,11,1303
06-07-2020,34,Uttar Pradesh,3828,5648,257,9733
06-07-2020,35,West Bengal,4236,3119,383,7738
"",Cases being reassigned to states,8605,"","",8605
"",Total#,120406,119293,6929,246628
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
