Date,S. No.,Name of State / UT,Total Confirmed cases (Including 77 foreign Nationals) ,Cured/Discharged/Migrated,Death
04-20-2020,1,Andaman and Nicobar Islands,15,11,0
04-20-2020,2,Andhra Pradesh,722,92,20
04-20-2020,3,Arunachal Pradesh,1,0,0
04-20-2020,4,Assam,35,17,1
04-20-2020,5,Bihar,96,42,2
04-20-2020,6,Chandigarh,26,13,0
04-20-2020,7,Chhattisgarh,36,25,0
04-20-2020,8,Delhi,2003,290,45
04-20-2020,9,Goa,7,7,0
04-20-2020,10,Gujarat,1851,106,67
04-20-2020,11,Haryana,233,87,3
04-20-2020,12,Himachal Pradesh,39,16,1
04-20-2020,13,Jammu and Kashmir,350,56,5
04-20-2020,14,Jharkhand,42,0,2
04-20-2020,15,Karnataka,395,111,16
04-20-2020,16,Kerala,402,270,3
04-20-2020,17,Ladakh,18,14,0
04-20-2020,18,Madhya Pradesh,1485,127,74
04-20-2020,19,Maharashtra,4203,507,223
04-20-2020,20,Manipur,2,2,0
04-20-2020,21,Meghalaya,11,0,1
04-20-2020,22,Mizoram,1,0,0
04-20-2020,23,Nagaland,0,0,0
04-20-2020,24,Odisha,68,24,1
04-20-2020,25,Puducherry,7,3,0
04-20-2020,26,Punjab,219,31,16
04-20-2020,27,Rajasthan,1478,183,14
04-20-2020,28,Tamil Nadu,1477,411,15
04-20-2020,29,Telengana,873,190,21
04-20-2020,30,Tripura,2,1,0
04-20-2020,31,Uttarakhand,44,11,0
04-20-2020,32,Uttar Pradesh,1176,129,17
04-20-2020,32,West Bengal,339,66,12
Total number of confirmed cases in India,17656*,2842,559
*Our figures are being reconciled with ICMR
