Date,S. No.,Name of State / UT,Total Confirmed cases (Including 111 foreign Nationals) ,Cured/Discharged/Migrated,Death
04-25-2020,1,Andaman and Nicobar Islands,27,11,0
04-25-2020,2,Andhra Pradesh,1061,171,31
04-25-2020,3,Arunachal Pradesh,1,1,0
04-25-2020,4,Assam,36,19,1
04-25-2020,5,Bihar,228,46,2
04-25-2020,6,Chandigarh,28,15,0
04-25-2020,7,Chhattisgarh,36,30,0
04-25-2020,8,Delhi,2514,857,53
04-25-2020,9,Goa,7,7,0
04-25-2020,10,Gujarat,2815,265,127
04-25-2020,11,Haryana,272,156,3
04-25-2020,12,Himachal Pradesh,40,18,1
04-25-2020,13,Jammu and Kashmir,454,109,5
04-25-2020,14,Jharkhand,59,9,3
04-25-2020,15,Karnataka,489,153,18
04-25-2020,16,Kerala,451,331,4
04-25-2020,17,Ladakh,20,14,0
04-25-2020,18,Madhya Pradesh,1952,210,92
04-25-2020,19,Maharashtra,6817,957,301
04-25-2020,20,Manipur,2,2,0
04-25-2020,21,Meghalaya,12,0,1
04-25-2020,22,Mizoram,1,0,0
04-25-2020,23,Odisha,94,33,1
04-25-2020,24,Puducherry,7,3,0
04-25-2020,25,Punjab,298,67,17
04-25-2020,26,Rajasthan,2034,230,27
04-25-2020,27,Tamil Nadu,1755,866,22
04-25-2020,28,Telengana,984,253,26
04-25-2020,29,Tripura,2,1,0
04-25-2020,30,Uttarakhand,48,25,0
04-25-2020,31,Uttar Pradesh,1778,248,26
04-25-2020,32,West Bengal,571,103,18
Total number of confirmed cases in India,24942*,5210,779
*49 cases are being assigned to states for contact tracing
*States wise distribution is subject to further verification and reconciliation
*Our figures are being reconciled with ICMR
