Date,S. No.,Name of State / UT,Total Confirmed cases* ,Cured/Discharged/Migrated,Deaths**
05-27-2020,1,Andaman and Nicobar Islands,33,33,0
05-27-2020,2,Andhra Pradesh,3171,2009,57
05-27-2020,3,Arunachal Pradesh,2,1,0
05-27-2020,4,Assam,616,62,4
05-27-2020,5,Bihar,2983,900,13
05-27-2020,6,Chandigarh,266,187,4
05-27-2020,7,Chhattisgarh,361,79,0
05-27-2020,8,Dadar Nagar Haveli,2,0,0
05-27-2020,9,Delhi,14465,7223,288
05-27-2020,10,Goa,67,28,0
05-27-2020,11,Gujarat,14821,7139,915
05-27-2020,12,Haryana,1305,824,17
05-27-2020,13,Himachal Pradesh,247,67,5
05-27-2020,14,Jammu and Kashmir,1759,833,24
05-27-2020,15,Jharkhand,426,175,4
05-27-2020,16,Karnataka,2283,748,44
05-27-2020,17,Kerala,963,542,6
05-27-2020,18,Ladakh,53,43,0
05-27-2020,19,Madhya Pradesh,7024,3689,305
05-27-2020,20,Maharashtra,54758,16954,1792
05-27-2020,21,Manipur,39,4,0
05-27-2020,22,Meghalaya,15,12,1
05-27-2020,23,Mizoram,1,1,0
05-27-2020,24,Nagaland,4,0,0
05-27-2020,25,Odisha,1517,733,7
05-27-2020,26,Puducherry,46,12,0
05-27-2020,27,Punjab,2106,1918,40
05-27-2020,28,Rajasthan,7536,4171,170
05-27-2020,29,Sikkim,1,0,0
05-27-2020,30,Tamil Nadu,17728,9342,127
05-27-2020,31,Telengana,1991,1284,57
05-27-2020,32,Tripura,207,165,0
05-27-2020,33,Uttarakhand,401,64,4
05-27-2020,34,Uttar Pradesh,6548,3698,170
05-27-2020,35,West Bengal,4009,1486,283
"",Cases being reassigned to states,4013,"",""
"",Total#,151767,64426,4337
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
