Date,S. No.,Name of State / UT,Total Confirmed cases (Including 76 foreign Nationals) ,Cured/Discharged/Migrated,Death
04-14-2020,1,Andhra Pradesh,473,14,9
04-14-2020,2,Andaman and Nicobar Islands,11,10,0
04-14-2020,3,Arunachal Pradesh,1,0,0
04-14-2020,4,Assam,31,0,1
04-14-2020,5,Bihar,66,26,1
04-14-2020,6,Chandigarh,21,7,0
04-14-2020,7,Chhattisgarh,31,10,0
04-14-2020,8,Delhi,1510,30,28
04-14-2020,9,Goa,7,5,0
04-14-2020,10,Gujarat,617,55,26
04-14-2020,11,Haryana,199,34,3
04-14-2020,12,Himachal Pradesh,32,13,1
04-14-2020,13,Jammu and Kashmir,270,16,4
04-14-2020,14,Jharkhand,24,0,2
04-14-2020,15,Karnataka,258,65,9
04-14-2020,16,Kerala,379,198,3
04-14-2020,17,Ladakh,15,10,0
04-14-2020,18,Madhya Pradesh,730,51,50
04-14-2020,19,Maharashtra,2337,229,160
04-14-2020,20,Manipur,2,1,0
04-14-2020,21,Meghalaya,1,0,0
04-14-2020,22,Mizoram,1,0,0
04-14-2020,23,Nagaland,1,0,0
04-14-2020,24,Odisha,55,18,1
04-14-2020,25,Puducherry,7,1,0
04-14-2020,26,Punjab,176,14,12
04-14-2020,27,Rajasthan,879,133,3
04-14-2020,28,Tamil Nadu,1173,58,11
04-14-2020,29,Telengana,624,100,17
04-14-2020,30,Tripura,2,0,0
04-14-2020,31,Uttarakhand,35,7,0
04-14-2020,32,Uttar Pradesh,657,49,5
04-14-2020,32,West Bengal,190,36,7
Total number of confirmed cases in India,10815*,1190,353
*States wise distribution is subject to further verification and reconciliation
