Date,S. No.,Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*
06-01-2020,1,Andaman and Nicobar Islands,0,33,0,33
06-01-2020,2,Andhra Pradesh,1268,2349,62,3679
06-01-2020,3,Arunachal Pradesh,3,1,0,4
06-01-2020,4,Assam,1083,185,4,1272
06-01-2020,5,Bihar,2084,1710,21,3815
06-01-2020,6,Chandigarh,90,199,4,293
06-01-2020,7,Chhattisgarh,382,115,1,498
06-01-2020,8,Dadar Nagar Haveli,2,0,0,2
06-01-2020,9,Delhi,10893,8478,473,19844
06-01-2020,10,Goa,28,42,0,70
06-01-2020,11,Gujarat,5822,9919,1038,16779
06-01-2020,12,Haryana,1023,1048,20,2091
06-01-2020,13,Himachal Pradesh,206,120,5,331
06-01-2020,14,Jammu and Kashmir,1491,927,28,2446
06-01-2020,15,Jharkhand,349,256,5,610
06-01-2020,16,Karnataka,1952,1218,51,3221
06-01-2020,17,Kerala,670,590,9,1269
06-01-2020,18,Ladakh,31,43,0,74
06-01-2020,19,Madhya Pradesh,2897,4842,350,8089
06-01-2020,20,Maharashtra,36040,29329,2286,67655
06-01-2020,21,Manipur,60,11,0,71
06-01-2020,22,Meghalaya,14,12,1,27
06-01-2020,23,Mizoram,0,1,0,1
06-01-2020,24,Nagaland,43,0,0,43
06-01-2020,25,Odisha,815,1126,7,1948
06-01-2020,26,Puducherry,45,25,0,70
06-01-2020,27,Punjab,231,1987,45,2263
06-01-2020,28,Rajasthan,2710,5927,194,8831
06-01-2020,29,Sikkim,1,0,0,1
06-01-2020,30,Tamil Nadu,9403,12757,173,22333
06-01-2020,31,Telengana,1188,1428,82,2698
06-01-2020,32,Tripura,140,173,0,313
06-01-2020,33,Uttarakhand,800,102,5,907
06-01-2020,34,Uttar Pradesh,2901,4709,213,7823
06-01-2020,35,West Bengal,3027,2157,317,5501
"",Cases being reassigned to states,5630,"","",5630
"",Total#,93322,91819,5394,190535
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
