Date,S. No.,Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*
06-05-2020,1,Andaman and Nicobar Islands,0,33,0,33
06-05-2020,2,Andhra Pradesh,1613,2539,71,4223
06-05-2020,3,Arunachal Pradesh,41,1,0,42
06-05-2020,4,Assam,1542,442,4,1988
06-05-2020,5,Bihar,2254,2210,29,4493
06-05-2020,6,Chandigarh,82,214,5,301
06-05-2020,7,Chhattisgarh,541,213,2,756
06-05-2020,8,Dadar Nagar Haveli,11,1,0,12
06-05-2020,9,Delhi,14456,9898,650,25004
06-05-2020,10,Goa,109,57,0,166
06-05-2020,11,Gujarat,4762,12667,1155,18584
06-05-2020,12,Haryana,1123,2134,24,3281
06-05-2020,13,Himachal Pradesh,199,179,5,383
06-05-2020,14,Jammu and Kashmir,2059,1048,35,3142
06-05-2020,15,Jharkhand,433,354,6,793
06-05-2020,16,Karnataka,2653,1610,57,4320
06-05-2020,17,Kerala,884,690,14,1588
06-05-2020,18,Ladakh,41,48,1,90
06-05-2020,19,Madhya Pradesh,2748,5637,377,8762
06-05-2020,20,Maharashtra,41402,33681,2710,77793
06-05-2020,21,Manipur,86,38,0,124
06-05-2020,22,Meghalaya,19,13,1,33
06-05-2020,23,Mizoram,16,1,0,17
06-05-2020,24,Nagaland,80,0,0,80
06-05-2020,25,Odisha,1055,1416,7,2478
06-05-2020,26,Puducherry,57,25,0,82
06-05-2020,27,Punjab,325,2043,47,2415
06-05-2020,28,Rajasthan,2545,7104,213,9862
06-05-2020,29,Sikkim,2,0,0,2
06-05-2020,30,Tamil Nadu,12134,14902,220,27256
06-05-2020,31,Telengana,1455,1587,105,3147
06-05-2020,32,Tripura,471,173,0,644
06-05-2020,33,Uttarakhand,846,297,10,1153
06-05-2020,34,Uttar Pradesh,3553,5439,245,9237
06-05-2020,35,West Bengal,3753,2768,355,6876
"",Cases being reassigned to states,7610,"","",7610
"",Total#,110960,109462,6348,226770
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
