Date,S. No.,Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*
07-09-2020,1,Andaman and Nicobar Islands,72,77,0,149
07-09-2020,2,Andhra Pradesh,10894,11101,264,22259
07-09-2020,3,Arunachal Pradesh,176,109,2,287
07-09-2020,4,Assam,4591,8729,16,13336
07-09-2020,5,Bihar,3528,9554,107,13189
07-09-2020,6,Chandigarh,104,402,7,513
07-09-2020,7,Chhattisgarh,676,2835,14,3525
07-09-2020,8,Dadra and Nagar Haveli and Daman and Diu,224,184,0,408
07-09-2020,9,Delhi,23452,78199,3213,104864
07-09-2020,10,Goa,824,1207,8,2039
07-09-2020,11,Gujarat,9051,27289,1993,38333
07-09-2020,12,Haryana,4302,14106,282,18690
07-09-2020,13,Himachal Pradesh,257,833,11,1101
07-09-2020,14,Jammu and Kashmir,3545,5567,149,9261
07-09-2020,15,Jharkhand,904,2170,22,3096
07-09-2020,16,Karnataka,16531,11876,470,28877
07-09-2020,17,Kerala,2609,3559,27,6195
07-09-2020,18,Ladakh,204,836,1,1041
07-09-2020,19,Madhya Pradesh,3420,11987,629,16036
07-09-2020,20,Maharashtra,91084,123192,9448,223724
07-09-2020,21,Manipur,642,793,0,1435
07-09-2020,22,Meghalaya,36,43,1,80
07-09-2020,23,Mizoram,64,133,0,197
07-09-2020,24,Nagaland,353,304,0,657
07-09-2020,25,Odisha,3570,7006,48,10624
07-09-2020,26,Puducherry,514,480,14,1008
07-09-2020,27,Punjab,1901,4828,178,6907
07-09-2020,28,Rajasthan,4715,16866,482,22063
07-09-2020,29,Sikkim,62,71,0,133
07-09-2020,30,Tamil Nadu,46483,74167,1700,122350
07-09-2020,31,Telangana,11933,17279,324,29536
07-09-2020,32,Tripura,436,1324,1,1761
07-09-2020,33,Uttarakhand,562,2650,46,3258
07-09-2020,34,Uttar Pradesh,9980,20331,845,31156
07-09-2020,35,West Bengal,7705,16291,827,24823
"",Cases being reassigned to states,4385,"","",4385
"",Total#,269789,476378,21129,767296
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
