Date,S. No.,Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*
06-23-2020,1,Andaman and Nicobar Islands,11,37,0,48
06-23-2020,2,Andhra Pradesh,4766,4495,111,9372
06-23-2020,3,Arunachal Pradesh,118,21,0,139
06-23-2020,4,Assam,2056,3521,9,5586
06-23-2020,5,Bihar,1989,5781,55,7825
06-23-2020,6,Chandigarh,83,322,6,411
06-23-2020,7,Chhattisgarh,778,1513,12,2303
06-23-2020,8,Dadra and Nagar Haveli and Daman and Diu,64,27,0,91
06-23-2020,9,Delhi,23820,36602,2233,62655
06-23-2020,10,Goa,711,152,1,864
06-23-2020,11,Gujarat,6232,19909,1684,27825
06-23-2020,12,Haryana,4940,5916,169,11025
06-23-2020,13,Himachal Pradesh,282,437,8,727
06-23-2020,14,Jammu and Kashmir,2472,3531,85,6088
06-23-2020,15,Jharkhand,657,1469,11,2137
06-23-2020,16,Karnataka,3527,5730,142,9399
06-23-2020,17,Kerala,1540,1749,21,3310
06-23-2020,18,Ladakh,710,136,1,847
06-23-2020,19,Madhya Pradesh,2342,9215,521,12078
06-23-2020,20,Maharashtra,61807,67706,6283,135796
06-23-2020,21,Manipur,648,250,0,898
06-23-2020,22,Meghalaya,6,37,1,44
06-23-2020,23,Mizoram,132,9,0,141
06-23-2020,24,Nagaland,139,141,0,280
06-23-2020,25,Odisha,1425,3863,15,5303
06-23-2020,26,Puducherry,226,149,8,383
06-23-2020,27,Punjab,1309,2825,101,4235
06-23-2020,28,Rajasthan,2966,11910,356,15232
06-23-2020,29,Sikkim,49,29,0,78
06-23-2020,30,Tamil Nadu,27181,34112,794,62087
06-23-2020,31,Telangana,4452,4005,217,8674
06-23-2020,32,Tripura,454,782,1,1237
06-23-2020,33,Uttarakhand,853,1521,28,2402
06-23-2020,34,Uttar Pradesh,6152,11601,569,18322
06-23-2020,35,West Bengal,5102,8687,569,14358
"",Cases being reassigned to states,8015,"","",8015
"",Total#,178014,248190,14011,440215
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
