Date,S. No.,Name of State / UT,Total Confirmed cases (Including 111 foreign Nationals) ,Cured/Discharged/Migrated,Death
05-02-2020,1,Andaman and Nicobar Islands,33,16,0
05-02-2020,2,Andhra Pradesh,1525,441,33
05-02-2020,3,Arunachal Pradesh,1,1,0
05-02-2020,4,Assam,43,32,1
05-02-2020,5,Bihar,471,98,3
05-02-2020,6,Chandigarh,88,17,0
05-02-2020,7,Chhattisgarh,43,36,0
05-02-2020,8,Delhi,3738,1167,61
05-02-2020,9,Goa,7,7,0
05-02-2020,10,Gujarat,4721,735,236
05-02-2020,11,Haryana,360,227,4
05-02-2020,12,Himachal Pradesh,40,30,1
05-02-2020,13,Jammu and Kashmir,639,247,8
05-02-2020,14,Jharkhand,111,20,3
05-02-2020,15,Karnataka,598,255,25
05-02-2020,16,Kerala,498,392,4
05-02-2020,17,Ladakh,22,17,0
05-02-2020,18,Madhya Pradesh,2719,524,145
05-02-2020,19,Maharashtra,11506,1879,485
05-02-2020,20,Manipur,2,2,0
05-02-2020,21,Meghalaya,12,0,1
05-02-2020,22,Mizoram,1,0,0
05-02-2020,23,Odisha,154,55,1
05-02-2020,24,Puducherry,8,5,0
05-02-2020,25,Punjab,772,112,20
05-02-2020,26,Rajasthan,2666,1116,62
05-02-2020,27,Tamil Nadu,2526,1312,28
05-02-2020,28,Telengana,1057,441,26
05-02-2020,29,Tripura,2,2,0
05-02-2020,30,Uttarakhand,58,37,0
05-02-2020,31,Uttar Pradesh,2455,656,43
05-02-2020,32,West Bengal,795,139,33
Total number of confirmed cases in India,37776*,10018,1223
*105 cases are being assigned to states for contact tracing
*States wise distribution is subject to further verification and reconciliation
*Our figures are being reconciled with ICMR
