Date,S. No.,Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*
07-21-2020,1,Andaman and Nicobar Islands,55,152,0,207
07-21-2020,2,Andhra Pradesh,28800,24228,696,53724
07-21-2020,3,Arunachal Pradesh,502,285,3,790
07-21-2020,4,Assam,8229,17095,58,25382
07-21-2020,5,Bihar,9996,17433,217,27646
07-21-2020,6,Chandigarh,207,518,12,737
07-21-2020,7,Chhattisgarh,1592,3944,25,5561
07-21-2020,8,Dadra and Nagar Haveli and Daman and Diu,234,448,2,684
07-21-2020,9,Delhi,15166,104918,3663,123747
07-21-2020,10,Goa,1469,2361,23,3853
07-21-2020,11,Gujarat,11513,35678,2162,49353
07-21-2020,12,Haryana,6277,20226,355,26858
07-21-2020,13,Himachal Pradesh,553,1067,11,1631
07-21-2020,14,Jammu and Kashmir,6122,8274,254,14650
07-21-2020,15,Jharkhand,2893,2810,53,5756
07-21-2020,16,Karnataka,42222,23795,1403,67420
07-21-2020,17,Kerala,7615,5616,43,13274
07-21-2020,18,Ladakh,186,1007,2,1195
07-21-2020,19,Madhya Pradesh,6888,15684,738,23310
07-21-2020,20,Maharashtra,131636,175029,12030,318695
07-21-2020,21,Manipur,618,1307,0,1925
07-21-2020,22,Meghalaya,396,66,4,466
07-21-2020,23,Mizoram,129,168,0,297
07-21-2020,24,Nagaland,537,484,0,1021
07-21-2020,25,Odisha,5103,12910,97,18110
07-21-2020,26,Puducherry,798,1265,29,2092
07-21-2020,27,Punjab,3130,7118,262,10510
07-21-2020,28,Rajasthan,7627,22195,568,30390
07-21-2020,29,Sikkim,213,92,0,305
07-21-2020,30,Tamil Nadu,51351,121776,2551,175678
07-21-2020,31,Telangana,11529,34323,422,46274
07-21-2020,32,Tripura,1227,1845,7,3079
07-21-2020,33,Uttarakhand,1375,3212,55,4642
07-21-2020,34,Uttar Pradesh,19137,30831,1192,51160
07-21-2020,35,West Bengal,17204,26418,1147,44769
"",Total#,402529,724578,28084,1155191
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
