Date,S. No.,Name of State / UT,Total Confirmed cases* ,Cured/Discharged/Migrated,Deaths**
05-28-2020,1,Andaman and Nicobar Islands,33,33,0
05-28-2020,2,Andhra Pradesh,3171,2057,58
05-28-2020,3,Arunachal Pradesh,2,1,0
05-28-2020,4,Assam,781,87,4
05-28-2020,5,Bihar,3061,1083,15
05-28-2020,6,Chandigarh,279,187,4
05-28-2020,7,Chhattisgarh,369,83,0
05-28-2020,8,Dadar Nagar Haveli,2,0,0
05-28-2020,9,Delhi,15257,7264,303
05-28-2020,10,Goa,68,37,0
05-28-2020,11,Gujarat,15195,7549,938
05-28-2020,12,Haryana,1381,838,18
05-28-2020,13,Himachal Pradesh,273,70,5
05-28-2020,14,Jammu and Kashmir,1921,854,26
05-28-2020,15,Jharkhand,448,185,4
05-28-2020,16,Karnataka,2418,781,47
05-28-2020,17,Kerala,1004,552,7
05-28-2020,18,Ladakh,53,43,0
05-28-2020,19,Madhya Pradesh,7261,3927,313
05-28-2020,20,Maharashtra,56948,17918,1897
05-28-2020,21,Manipur,44,4,0
05-28-2020,22,Meghalaya,20,12,1
05-28-2020,23,Mizoram,1,1,0
05-28-2020,24,Nagaland,4,0,0
05-28-2020,25,Odisha,1593,733,7
05-28-2020,26,Puducherry,46,12,0
05-28-2020,27,Punjab,2139,1918,40
05-28-2020,28,Rajasthan,7703,4457,173
05-28-2020,29,Sikkim,1,0,0
05-28-2020,30,Tamil Nadu,18545,9909,133
05-28-2020,31,Telengana,2098,1284,63
05-28-2020,32,Tripura,230,165,0
05-28-2020,33,Uttarakhand,469,79,4
05-28-2020,34,Uttar Pradesh,6991,3991,182
05-28-2020,35,West Bengal,4192,1578,289
"",Cases being reassigned to states,4332,"",""
"",Total#,158333,67692,4531
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
