Date,S. No.,Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*
07-10-2020,1,Andaman and Nicobar Islands,68,83,0,151
07-10-2020,2,Andhra Pradesh,11383,12154,277,23814
07-10-2020,3,Arunachal Pradesh,180,120,2,302
07-10-2020,4,Assam,5281,8729,22,14032
07-10-2020,5,Bihar,4013,9816,115,13944
07-10-2020,6,Chandigarh,113,403,7,523
07-10-2020,7,Chhattisgarh,757,2903,15,3675
07-10-2020,8,Dadra and Nagar Haveli and Daman and Diu,222,189,0,411
07-10-2020,9,Delhi,21567,82226,3258,107051
07-10-2020,10,Goa,869,1273,9,2151
07-10-2020,11,Gujarat,9468,27718,2008,39194
07-10-2020,12,Haryana,4572,14510,287,19369
07-10-2020,13,Himachal Pradesh,283,846,11,1140
07-10-2020,14,Jammu and Kashmir,3652,5695,154,9501
07-10-2020,15,Jharkhand,1015,2208,23,3246
07-10-2020,16,Karnataka,17786,12833,486,31105
07-10-2020,17,Kerala,2799,3708,27,6534
07-10-2020,18,Ladakh,139,915,1,1055
07-10-2020,19,Madhya Pradesh,3475,12232,634,16341
07-10-2020,20,Maharashtra,93673,127259,9667,230599
07-10-2020,21,Manipur,651,799,0,1450
07-10-2020,22,Meghalaya,45,66,2,113
07-10-2020,23,Mizoram,64,133,0,197
07-10-2020,24,Nagaland,369,304,0,673
07-10-2020,25,Odisha,3742,7407,52,11201
07-10-2020,26,Puducherry,553,584,14,1151
07-10-2020,27,Punjab,2012,4945,183,7140
07-10-2020,28,Rajasthan,5002,17070,491,22563
07-10-2020,29,Sikkim,62,72,0,134
07-10-2020,30,Tamil Nadu,46655,78161,1765,126581
07-10-2020,31,Telangana,12423,18192,331,30946
07-10-2020,32,Tripura,437,1338,1,1776
07-10-2020,33,Uttarakhand,587,2672,46,3305
07-10-2020,34,Uttar Pradesh,10373,21127,862,32362
07-10-2020,35,West Bengal,8231,16826,854,25911
"",Cases being reassigned to states,4161,"","",4161
"",Total#,276682,495516,21604,793802
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
