Date,S. No.,Name of State / UT,Total Confirmed cases* ,Cured/Discharged/Migrated,Deaths**
05-17-2020,1,Andaman and Nicobar Islands,33,33,0
05-17-2020,2,Andhra Pradesh,2355,1353,49
05-17-2020,3,Arunachal Pradesh,1,1,0
05-17-2020,4,Assam,92,41,2
05-17-2020,5,Bihar,1179,453,7
05-17-2020,6,Chandigarh,191,51,3
05-17-2020,7,Chhattisgarh,67,56,0
05-17-2020,8,Dadar Nagar Haveli,1,0,0
05-17-2020,9,Delhi,9333,3926,129
05-17-2020,10,Goa,17,7,0
05-17-2020,11,Gujarat,10988,4308,625
05-17-2020,12,Haryana,887,514,13
05-17-2020,13,Himachal Pradesh,78,43,3
05-17-2020,14,Jammu and Kashmir,1121,542,12
05-17-2020,15,Jharkhand,217,113,3
05-17-2020,16,Karnataka,1092,496,36
05-17-2020,17,Kerala,587,495,4
05-17-2020,18,Ladakh,43,22,0
05-17-2020,19,Madhya Pradesh,4789,2315,243
05-17-2020,20,Maharashtra,30706,7088,1135
05-17-2020,21,Manipur,7,2,0
05-17-2020,22,Meghalaya,13,11,1
05-17-2020,23,Mizoram,1,1,0
05-17-2020,24,Odisha,737,196,3
05-17-2020,25,Puducherry,13,9,1
05-17-2020,26,Punjab,1946,1257,32
05-17-2020,27,Rajasthan,4960,2839,126
05-17-2020,28,Tamil Nadu,10585,3538,74
05-17-2020,29,Telengana,1509,971,34
05-17-2020,30,Tripura,167,64,0
05-17-2020,31,Uttarakhand,88,51,1
05-17-2020,32,Uttar Pradesh,4258,2441,104
05-17-2020,33,West Bengal,2576,872,232
"",Cases being reassigned to states,290,"",""
Total number of confirmed cases in India,90927#,34109,2872
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
