Date,S. No.,Name of State / UT,Total Confirmed cases (Including 77 foreign Nationals) ,Cured/Discharged/Migrated,Death
04-22-2020,1,Andaman and Nicobar Islands,17,11,0
04-22-2020,2,Andhra Pradesh,813,120,24
04-22-2020,3,Arunachal Pradesh,1,1,0
04-22-2020,4,Assam,35,19,1
04-22-2020,5,Bihar,126,46,2
04-22-2020,6,Chandigarh,27,14,0
04-22-2020,7,Chhattisgarh,36,26,0
04-22-2020,8,Delhi,2156,611,47
04-22-2020,9,Goa,7,7,0
04-22-2020,10,Gujarat,2272,144,95
04-22-2020,11,Haryana,254,127,3
04-22-2020,12,Himachal Pradesh,39,16,1
04-22-2020,13,Jammu and Kashmir,380,81,5
04-22-2020,14,Jharkhand#,45,0,3
04-22-2020,15,Karnataka,425,129,17
04-22-2020,16,Kerala,427,323,3
04-22-2020,17,Ladakh,18,14,0
04-22-2020,18,Madhya Pradesh,1592,148,80
04-22-2020,19,Maharashtra,5221,722,251
04-22-2020,20,Manipur,2,2,0
04-22-2020,21,Meghalaya,12,0,1
04-22-2020,22,Mizoram,1,0,0
04-22-2020,23,Odisha,82,30,1
04-22-2020,24,Puducherry,7,3,0
04-22-2020,25,Punjab,251,49,16
04-22-2020,26,Rajasthan,1801,230,25
04-22-2020,27,Tamil Nadu,1596,635,18
04-22-2020,28,Telengana,945,194,23
04-22-2020,29,Tripura,2,1,0
04-22-2020,30,Uttarakhand,46,19,0
04-22-2020,31,Uttar Pradesh,1412,165,21
04-22-2020,32,West Bengal,423,73,15
