Date,S. No.,Name of State / UT,Total Confirmed cases (Including 72 foreign Nationals) ,Cured/Discharged/Migrated,Death
04-13-2020,1,Andhra Pradesh,432,11,7
04-13-2020,2,Andaman and Nicobar Islands,11,10,0
04-13-2020,3,Arunachal Pradesh,1,0,0
04-13-2020,4,Assam,31,0,1
04-13-2020,5,Bihar,64,26,1
04-13-2020,6,Chandigarh,21,7,0
04-13-2020,7,Chhattisgarh,31,10,0
04-13-2020,8,Delhi,1154,27,24
04-13-2020,9,Goa,7,5,0
04-13-2020,10,Gujarat,539,47,26
04-13-2020,11,Haryana,185,29,3
04-13-2020,12,Himachal Pradesh,32,13,1
04-13-2020,13,Jammu and Kashmir,245,6,4
04-13-2020,14,Jharkhand,19,0,2
04-13-2020,15,Karnataka,247,59,6
04-13-2020,16,Kerala,376,179,3
04-13-2020,17,Ladakh,15,10,0
04-13-2020,18,Madhya Pradesh,604,44,43
04-13-2020,19,Maharashtra,1985,217,149
04-13-2020,20,Manipur,2,1,0
04-13-2020,21,Mizoram,1,0,0
04-13-2020,22,Nagaland,1,0,0
04-13-2020,23,Odisha,54,12,1
04-13-2020,24,Puducherry,7,1,0
04-13-2020,25,Punjab,167,14,11
04-13-2020,26,Rajasthan,812,21,3
04-13-2020,27,Tamil Nadu,1075,50,11
04-13-2020,28,Telengana,562,100,16
04-13-2020,29,Tripura,2,0,0
04-13-2020,30,Uttarakhand,35,5,0
04-13-2020,31,Uttar Pradesh,483,47,5
04-13-2020,32,West Bengal,152,29,7
Total number of confirmed cases in India,9352*,980,324
*States wise distribution is subject to further verification and reconciliation
