Date,S. No.,Name of State / UT,Total Confirmed cases (Including 71 foreign Nationals) ,Cured/Discharged/Migrated,Death
04-11-2020,1,Andhra Pradesh,381,11,6
04-11-2020,2,Andaman and Nicobar Islands,11,0,0
04-11-2020,3,Arunachal Pradesh,1,0,0
04-11-2020,4,Assam,29,0,1
04-11-2020,5,Bihar,60,0,1
04-11-2020,6,Chandigarh,18,7,0
04-11-2020,7,Chhattisgarh,18,9,0
04-11-2020,8,Delhi,903,25,14
04-11-2020,9,Goa,7,1,0
04-11-2020,10,Gujarat,308,31,19
04-11-2020,11,Haryana,177,29,3
04-11-2020,12,Himachal Pradesh,28,6,1
04-11-2020,13,Jammu and Kashmir,207,6,4
04-11-2020,14,Jharkhand,17,0,1
04-11-2020,15,Karnataka,214,37,6
04-11-2020,16,Kerala,364,123,2
04-11-2020,17,Ladakh,15,10,0
04-11-2020,18,Madhya Pradesh,443,0,33
04-11-2020,19,Maharashtra,1574,188,110
04-11-2020,20,Manipur,2,1,0
04-11-2020,21,Mizoram,1,0,0
04-11-2020,22,Odisha,48,2,1
04-11-2020,23,Puducherry,7,1,0
04-11-2020,24,Punjab,132,5,11
04-11-2020,25,Rajasthan,553,21,3
04-11-2020,26,Tamil Nadu,911,44,8
04-11-2020,27,Telengana,504,43,9
04-11-2020,28,Tripura,2,0,0
04-11-2020,29,Uttarakhand,35,5,0
04-11-2020,30,Uttar Pradesh,433,32,4
04-11-2020,31,West Bengal,126,16,5
Total number of confirmed cases in India,7529*,653,242
*States wise distribution is subject to further verification and reconciliation
