Date,S. No.,Name of State / UT,Total Confirmed cases* ,Cured/Discharged/Migrated,Deaths**
05-11-2020,1,Andaman and Nicobar Islands,33,33,0
05-11-2020,2,Andhra Pradesh,1980,925,45
05-11-2020,3,Arunachal Pradesh,1,1,0
05-11-2020,4,Assam,63,34,2
05-11-2020,5,Bihar,696,365,6
05-11-2020,6,Chandigarh,169,24,2
05-11-2020,7,Chhattisgarh,59,49,0
05-11-2020,8,Dadar Nagar Haveli,1,0,0
05-11-2020,9,Delhi,6923,2069,73
05-11-2020,10,Goa,7,7,0
05-11-2020,11,Gujarat,8194,2545,493
05-11-2020,12,Haryana,703,300,10
05-11-2020,13,Himachal Pradesh,55,39,2
05-11-2020,14,Jammu and Kashmir,861,383,9
05-11-2020,15,Jharkhand,157,78,3
05-11-2020,16,Karnataka,848,424,31
05-11-2020,17,Kerala,512,489,4
05-11-2020,18,Ladakh,42,21,0
05-11-2020,19,Madhya Pradesh,3614,1676,215
05-11-2020,20,Maharashtra,22171,4199,832
05-11-2020,21,Manipur,2,2,0
05-11-2020,22,Meghalaya,13,10,1
05-11-2020,23,Mizoram,1,1,0
05-11-2020,24,Odisha,377,68,3
05-11-2020,25,Puducherry,9,6,0
05-11-2020,26,Punjab,1823,166,31
05-11-2020,27,Rajasthan,3814,2176,107
05-11-2020,28,Tamil Nadu,7204,1959,47
05-11-2020,29,Telengana,1196,750,30
05-11-2020,30,Tripura,150,2,0
05-11-2020,31,Uttarakhand,68,46,1
05-11-2020,32,Uttar Pradesh,3467,1653,74
05-11-2020,33,West Bengal,1939,417,185
Total number of confirmed cases in India,67152#,20917,2206
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
