Date,S. No.,Name of State / UT,Total Confirmed cases (Including 111 foreign Nationals) ,Cured/Discharged/Migrated,Deaths ( more than 70% cases due to comorbidities )
05-09-2020,1,Andaman and Nicobar Islands,33,33,0
05-09-2020,2,Andhra Pradesh,1887,842,41
05-09-2020,3,Arunachal Pradesh,1,1,0
05-09-2020,4,Assam,59,34,1
05-09-2020,5,Bihar,571,297,5
05-09-2020,6,Chandigarh,150,21,1
05-09-2020,7,Chhattisgarh,59,38,0
05-09-2020,8,Dadar Nagar Haveli,1,0,0
05-09-2020,9,Delhi,6318,2020,68
05-09-2020,10,Goa,7,7,0
05-09-2020,11,Gujarat,7402,1872,449
05-09-2020,12,Haryana,647,279,8
05-09-2020,13,Himachal Pradesh,50,38,2
05-09-2020,14,Jammu and Kashmir,823,364,9
05-09-2020,15,Jharkhand,132,52,3
05-09-2020,16,Karnataka,753,376,30
05-09-2020,17,Kerala,503,484,4
05-09-2020,18,Ladakh,42,17,0
05-09-2020,19,Madhya Pradesh,3341,1349,200
05-09-2020,20,Maharashtra,19063,3470,731
05-09-2020,21,Manipur,2,2,0
05-09-2020,22,Meghalaya,12,10,1
05-09-2020,23,Mizoram,1,0,0
05-09-2020,24,Odisha,271,63,2
05-09-2020,25,Puducherry,9,6,0
05-09-2020,26,Punjab,1731,152,29
05-09-2020,27,Rajasthan,3579,1916,101
05-09-2020,28,Tamil Nadu,6009,1605,40
05-09-2020,29,Telengana,1133,700,29
05-09-2020,30,Tripura,118,2,0
05-09-2020,31,Uttarakhand,63,46,1
05-09-2020,32,Uttar Pradesh,3214,1387,66
05-09-2020,33,West Bengal,1678,364,160
Total number of confirmed cases in India,59662*,17847,1981
*States wise distribution is subject to further verification and reconciliation
*Our figures are being reconciled with ICMR
