Date,S. No.,Name of State / UT,Total Confirmed cases (Including 111 foreign Nationals) ,Cured/Discharged/Migrated,Death
04-30-2020,1,Andaman and Nicobar Islands,33,15,0
04-30-2020,2,Andhra Pradesh,1403,321,31
04-30-2020,3,Arunachal Pradesh,1,1,0
04-30-2020,4,Assam,42,29,1
04-30-2020,5,Bihar,403,65,2
04-30-2020,6,Chandigarh,56,17,0
04-30-2020,7,Chhattisgarh,38,36,0
04-30-2020,8,Delhi,3439,1092,56
04-30-2020,9,Goa,7,7,0
04-30-2020,10,Gujarat,4082,527,197
04-30-2020,11,Haryana,310,209,3
04-30-2020,12,Himachal Pradesh,40,25,1
04-30-2020,13,Jammu and Kashmir,581,192,8
04-30-2020,14,Jharkhand,107,19,3
04-30-2020,15,Karnataka,557,223,21
04-30-2020,16,Kerala,496,369,4
04-30-2020,17,Ladakh,22,16,0
04-30-2020,18,Madhya Pradesh,2660,461,130
04-30-2020,19,Maharashtra,9915,1593,432
04-30-2020,20,Manipur,2,2,0
04-30-2020,21,Meghalaya,12,0,1
04-30-2020,22,Mizoram,1,0,0
04-30-2020,23,Odisha,128,39,1
04-30-2020,24,Puducherry,8,5,0
04-30-2020,25,Punjab,357,90,19
04-30-2020,26,Rajasthan,2438,768,51
04-30-2020,27,Tamil Nadu,2162,1210,27
04-30-2020,28,Telengana,1012,367,26
04-30-2020,29,Tripura,2,2,0
04-30-2020,30,Uttarakhand,55,36,0
04-30-2020,31,Uttar Pradesh,2203,513,39
04-30-2020,32,West Bengal,758,124,22
Total number of confirmed cases in India,33610*,8373,1075
*280 cases are being assigned to states for contact tracing
*States wise distribution is subject to further verification and reconciliation
*Our figures are being reconciled with ICMR
