Date,S. No.,Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*
06-17-2020,1,Andaman and Nicobar Islands,11,33,0,44
06-17-2020,2,Andhra Pradesh,3244,3509,88,6841
06-17-2020,3,Arunachal Pradesh,88,7,0,95
06-17-2020,4,Assam,2145,2166,8,4319
06-17-2020,5,Bihar,2093,4644,41,6778
06-17-2020,6,Chandigarh,50,302,6,358
06-17-2020,7,Chhattisgarh,736,1036,9,1781
06-17-2020,8,Dadra and Nagar Haveli and Daman and Diu,36,9,0,45
06-17-2020,9,Delhi,26351,16500,1837,44688
06-17-2020,10,Goa,544,85,0,629
06-17-2020,11,Gujarat,5962,17082,1533,24577
06-17-2020,12,Haryana,4406,3748,118,8272
06-17-2020,13,Himachal Pradesh,180,372,8,560
06-17-2020,14,Jammu and Kashmir,2454,2781,63,5298
06-17-2020,15,Jharkhand,709,1121,9,1839
06-17-2020,16,Karnataka,2980,4456,94,7530
06-17-2020,17,Kerala,1366,1236,20,2622
06-17-2020,18,Ladakh,563,85,1,649
06-17-2020,19,Madhya Pradesh,2455,8152,476,11083
06-17-2020,20,Maharashtra,50057,57851,5537,113445
06-17-2020,21,Manipur,341,159,0,500
06-17-2020,22,Meghalaya,18,25,1,44
06-17-2020,23,Mizoram,120,1,0,121
06-17-2020,24,Nagaland,87,92,0,179
06-17-2020,25,Odisha,1178,2974,11,4163
06-17-2020,26,Puducherry,111,99,6,216
06-17-2020,27,Punjab,838,2461,72,3371
06-17-2020,28,Rajasthan,3059,9849,308,13216
06-17-2020,29,Sikkim,66,4,0,70
06-17-2020,30,Tamil Nadu,20709,26782,528,48019
06-17-2020,31,Telangana,2188,3027,191,5406
06-17-2020,32,Tripura,658,433,1,1092
06-17-2020,33,Uttarakhand,701,1216,25,1942
06-17-2020,34,Uttar Pradesh,5064,8610,417,14091
06-17-2020,35,West Bengal,5386,6028,495,11909
"",Cases being reassigned to states,8273,"","",8273
"",Total#,155227,186935,11903,354065
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
