Date,S. No.,Name of State / UT,Total Confirmed cases (Including 77 foreign Nationals) ,Cured/Discharged/Migrated,Death
04-19-2020,1,Andaman and Nicobar Islands,14,11,0
04-19-2020,2,Andhra Pradesh,603,42,15
04-19-2020,3,Arunachal Pradesh,1,0,0
04-19-2020,4,Assam,35,12,1
04-19-2020,5,Bihar,86,37,2
04-19-2020,6,Chandigarh,23,10,0
04-19-2020,7,Chhattisgarh,36,24,0
04-19-2020,8,Delhi,1893,72,43
04-19-2020,9,Goa,7,6,0
04-19-2020,10,Gujarat,1604,94,58
04-19-2020,11,Haryana,233,87,3
04-19-2020,12,Himachal Pradesh,39,16,1
04-19-2020,13,Jammu and Kashmir,341,51,5
04-19-2020,14,Jharkhand,35,0,2
04-19-2020,15,Karnataka,384,104,14
04-19-2020,16,Kerala,400,257,3
04-19-2020,17,Ladakh,18,14,0
04-19-2020,18,Madhya Pradesh,1407,127,70
04-19-2020,19,Maharashtra,3651,365,211
04-19-2020,20,Manipur,2,1,0
04-19-2020,21,Meghalaya,11,0,1
04-19-2020,22,Mizoram,1,0,0
04-19-2020,23,Nagaland#,0,0,0
04-19-2020,24,Odisha,61,24,1
04-19-2020,25,Puducherry,7,3,0
04-19-2020,26,Punjab,219,31,16
04-19-2020,27,Rajasthan,1351,183,11
04-19-2020,28,Tamil Nadu,1372,365,15
04-19-2020,29,Telengana,844,186,18
04-19-2020,30,Tripura,2,1,0
04-19-2020,31,Uttarakhand,42,9,0
04-19-2020,32,Uttar Pradesh,1084,108,17
04-19-2020,32,West Bengal,310,62,12
Total number of confirmed cases in India,16116*,2302,519
*Our figures are being reconciled with ICMR
