Date,S. No.,Name of State / UT,Total Confirmed cases (Including 111 foreign Nationals) ,Cured/Discharged/Migrated,Death
04-28-2020,1,Andaman and Nicobar Islands,33,11,0
04-28-2020,2,Andhra Pradesh,1259,258,31
04-28-2020,3,Arunachal Pradesh,1,1,0
04-28-2020,4,Assam,38,27,1
04-28-2020,5,Bihar,346,57,2
04-28-2020,6,Chandigarh,40,17,0
04-28-2020,7,Chhattisgarh,37,32,0
04-28-2020,8,Delhi,3108,877,54
04-28-2020,9,Goa,7,7,0
04-28-2020,10,Gujarat,3548,394,162
04-28-2020,11,Haryana,296,183,3
04-28-2020,12,Himachal Pradesh,40,22,1
04-28-2020,13,Jammu and Kashmir,546,164,7
04-28-2020,14,Jharkhand,103,17,3
04-28-2020,15,Karnataka,520,198,20
04-28-2020,16,Kerala,482,355,4
04-28-2020,17,Ladakh,22,16,0
04-28-2020,18,Madhya Pradesh,2368,361,113
04-28-2020,19,Maharashtra,8590,1282,369
04-28-2020,20,Manipur,2,2,0
04-28-2020,21,Meghalaya,12,0,1
04-28-2020,22,Mizoram,1,0,0
04-28-2020,23,Odisha,118,37,1
04-28-2020,24,Puducherry,8,3,0
04-28-2020,25,Punjab,313,71,18
04-28-2020,26,Rajasthan,2262,669,46
04-28-2020,27,Tamil Nadu,1937,1101,24
04-28-2020,28,Telengana,1004,321,26
04-28-2020,29,Tripura,2,2,0
04-28-2020,30,Uttarakhand,51,33,0
04-28-2020,31,Uttar Pradesh,2043,400,31
04-28-2020,32,West Bengal,697,109,20
Total number of confirmed cases in India,29974*,7027,937
*140 cases are being assigned to states for contact tracing
*States wise distribution is subject to further verification and reconciliation
*Our figures are being reconciled with ICMR
