Date,S. No.,Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*
07-19-2020,1,Andaman and Nicobar Islands,53,145,0,198
07-19-2020,2,Andhra Pradesh,22260,21763,586,44609
07-19-2020,3,Arunachal Pradesh,373,274,3,650
07-19-2020,4,Assam,7700,15165,53,22918
07-19-2020,5,Bihar,9392,15536,208,25136
07-19-2020,6,Chandigarh,203,485,12,700
07-19-2020,7,Chhattisgarh,1551,3658,24,5233
07-19-2020,8,Dadra and Nagar Haveli and Daman and Diu,186,414,2,602
07-19-2020,9,Delhi,16711,101274,3597,121582
07-19-2020,10,Goa,1425,2038,21,3484
07-19-2020,11,Gujarat,11233,34035,2122,47390
07-19-2020,12,Haryana,5885,19318,344,25547
07-19-2020,13,Himachal Pradesh,410,1036,11,1457
07-19-2020,14,Jammu and Kashmir,5797,7165,236,13198
07-19-2020,15,Jharkhand,2685,2611,46,5342
07-19-2020,16,Karnataka,36637,21775,1240,59652
07-19-2020,17,Kerala,6420,5199,40,11659
07-19-2020,18,Ladakh,173,985,1,1159
07-19-2020,19,Madhya Pradesh,6193,14864,706,21763
07-19-2020,20,Maharashtra,123678,165663,11596,300937
07-19-2020,21,Manipur,709,1182,0,1891
07-19-2020,22,Meghalaya,350,66,2,418
07-19-2020,23,Mizoram,117,167,0,284
07-19-2020,24,Nagaland,546,432,0,978
07-19-2020,25,Odisha,4678,11937,86,16701
07-19-2020,26,Puducherry,800,1066,28,1894
07-19-2020,27,Punjab,3092,6454,246,9792
07-19-2020,28,Rajasthan,6803,21144,553,28500
07-19-2020,29,Sikkim,185,90,0,275
07-19-2020,30,Tamil Nadu,49455,113856,2403,165714
07-19-2020,31,Telangana,12764,30607,409,43780
07-19-2020,32,Tripura,914,1735,5,2654
07-19-2020,33,Uttarakhand,1143,3081,52,4276
07-19-2020,34,Uttar Pradesh,17264,28664,1108,47036
07-19-2020,35,West Bengal,15594,23539,1076,40209
"",Total#,373379,677423,26816,1077618
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
