Date,S. No.,Name of State / UT,Total Confirmed cases* ,Cured/Discharged/Migrated,Deaths**
05-24-2020,1,Andaman and Nicobar Islands,33,33,0
05-24-2020,2,Andhra Pradesh,2757,1809,56
05-24-2020,3,Arunachal Pradesh,1,1,0
05-24-2020,4,Assam,329,55,4
05-24-2020,5,Bihar,2380,653,11
05-24-2020,6,Chandigarh,225,179,3
05-24-2020,7,Chhattisgarh,214,64,0
05-24-2020,8,Dadar Nagar Haveli,2,0,0
05-24-2020,9,Delhi,12910,6267,231
05-24-2020,10,Goa,55,16,0
05-24-2020,11,Gujarat,13664,6169,829
05-24-2020,12,Haryana,1131,750,16
05-24-2020,13,Himachal Pradesh,185,61,3
05-24-2020,14,Jammu and Kashmir,1569,774,21
05-24-2020,15,Jharkhand,350,141,4
05-24-2020,16,Karnataka,1959,608,42
05-24-2020,17,Kerala,795,515,4
05-24-2020,18,Ladakh,49,43,0
05-24-2020,19,Madhya Pradesh,6371,3267,281
05-24-2020,20,Maharashtra,47190,13404,1577
05-24-2020,21,Manipur,29,4,0
05-24-2020,22,Meghalaya,14,12,1
05-24-2020,23,Mizoram,1,1,0
05-24-2020,24,Odisha,1269,497,7
05-24-2020,25,Puducherry,26,10,0#
05-24-2020,26,Punjab,2045,1870,39
05-24-2020,27,Rajasthan,6742,3786,160
05-24-2020,28,Sikkim,1,0,0
05-24-2020,29,Tamil Nadu,15512,7491,103
05-24-2020,30,Telengana,1813,1065,49
05-24-2020,31,Tripura,189,153,0
05-24-2020,32,Uttarakhand,244,56,2
05-24-2020,33,Uttar Pradesh,6017,3406,155
05-24-2020,34,West Bengal,3459,1281,269
"",Cases being reassigned to states,2338,"",""
"",Total#,131868,54441,3867
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
