Date,S. No.,Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*
07-17-2020,1,Andaman and Nicobar Islands,47,133,0,180
07-17-2020,2,Andhra Pradesh,18159,19393,492,38044
07-17-2020,3,Arunachal Pradesh,387,153,3,543
07-17-2020,4,Assam,6818,12888,48,19754
07-17-2020,5,Bihar,7549,14018,197,21764
07-17-2020,6,Chandigarh,164,476,11,651
07-17-2020,7,Chhattisgarh,1260,3451,21,4732
07-17-2020,8,Dadra and Nagar Haveli and Daman and Diu,179,371,2,552
07-17-2020,9,Delhi,17407,97693,3545,118645
07-17-2020,10,Goa,1272,1817,19,3108
07-17-2020,11,Gujarat,11289,32103,2089,45481
07-17-2020,12,Haryana,5495,18185,322,24002
07-17-2020,13,Himachal Pradesh,382,984,11,1377
07-17-2020,14,Jammu and Kashmir,5488,6446,222,12156
07-17-2020,15,Jharkhand,2069,2513,42,4624
07-17-2020,16,Karnataka,30661,19729,1032,51422
07-17-2020,17,Kerala,5376,4862,37,10275
07-17-2020,18,Ladakh,176,970,1,1147
07-17-2020,19,Madhya Pradesh,5562,14127,689,20378
07-17-2020,20,Maharashtra,114947,158140,11194,284281
07-17-2020,21,Manipur,635,1129,0,1764
07-17-2020,22,Meghalaya,309,66,2,377
07-17-2020,23,Mizoram,112,160,0,272
07-17-2020,24,Nagaland,525,391,0,916
07-17-2020,25,Odisha,4436,10877,79,15392
07-17-2020,26,Puducherry,774,947,22,1743
07-17-2020,27,Punjab,2587,6277,230,9094
07-17-2020,28,Rajasthan,6666,19970,538,27174
07-17-2020,29,Sikkim,155,88,0,243
07-17-2020,30,Tamil Nadu,46717,107416,2236,156369
07-17-2020,31,Telangana,13327,27295,396,41018
07-17-2020,32,Tripura,676,1604,3,2283
07-17-2020,33,Uttarakhand,937,2995,50,3982
07-17-2020,34,Uttar Pradesh,15720,26675,1046,43441
07-17-2020,35,West Bengal,13679,21415,1023,36117
"",Cases being reassigned to states,531,"","",531
"",Total#,342473,635757,25602,1003832
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
